tr_id,half_life,r_squared,Actual_D,D
FBtr0086885,1.446588311,0.80859022,0.479159949,2.13E-01
FBtr0301207,1.447244491,0.969333659,0.478942698,2.13E-01
FBtr0088153,1.448097437,0.650507033,0.478660595,2.13E-01
FBtr0078736,1.448600113,0.681627556,0.478494496,2.13E-01
FBtr0070809,1.448676116,0.896528605,0.478469392,2.13E-01
FBtr0301431,1.448701393,0.830352775,0.478461044,2.13E-01
FBtr0310559,1.449025492,0.622868843,0.478354028,2.13E-01
FBtr0076496,1.452121266,0.933868562,0.477334226,2.12E-01
FBtr0085836,1.453965415,0.93798134,0.476728795,2.11E-01
FBtr0076030,1.454492937,0.921949417,0.476555893,2.11E-01
FBtr0474163,1.463963247,0.94743038,0.473473075,2.09E-01
FBtr0343043,1.463963247,0.94743038,0.473473075,2.09E-01
FBtr0334887,1.464082445,0.913110848,0.473434527,2.09E-01
FBtr0345815,1.467561674,0.46611632,0.47231213,2.08E-01
FBtr0080306,1.468385663,0.977708565,0.472047091,2.07E-01
FBtr0089488,1.469418478,0.837455471,0.471715302,2.07E-01
FBtr0310444,1.469511892,0.713234833,0.471685316,2.07E-01
FBtr0074654,1.471800444,0.734154006,0.470951876,2.06E-01
FBtr0073898,1.472141674,0.856907225,0.470842714,2.06E-01
FBtr0081216,1.472192127,0.670523784,0.470826577,2.06E-01
FBtr0084266,1.472910955,0.7574035,0.470596799,2.06E-01
FBtr0073822,1.474486596,0.486461713,0.470093918,2.06E-01
FBtr0079839,1.476327916,0.758248027,0.469507603,2.05E-01
FBtr0299944,1.476585739,0.852359196,0.469425623,2.05E-01
FBtr0087416,1.478809552,0.380817106,0.468719708,2.05E-01
FBtr0308592,1.48010375,0.772383618,0.46830986,2.04E-01
FBtr0081205,1.480644667,0.706872295,0.468138775,2.04E-01
FBtr0084637,1.480880891,0.581428843,0.468064099,2.04E-01
FBtr0305178,1.483602129,0.857517587,0.467205571,2.03E-01
FBtr0301194,1.484801114,0.917576668,0.4668283,2.03E-01
FBtr0070182,1.485097477,0.871579344,0.466735141,2.03E-01
FBtr0088838,1.486483077,0.549817397,0.466300082,2.03E-01
FBtr0074875,1.487872094,0.956455187,0.465864763,2.02E-01
FBtr0070027,1.488000134,0.777314323,0.465824676,2.02E-01
FBtr0072425,1.488189593,0.675661051,0.465765373,2.02E-01
FBtr0089935,1.488623199,0.775470519,0.465629705,2.02E-01
FBtr0302329,1.490900674,0.959701654,0.464918417,2.01E-01
FBtr0070909,1.492448634,0.40025267,0.464436205,2.01E-01
FBtr0310146,1.494962018,0.597750023,0.463655379,2.00E-01
FBtr0081480,1.496826735,0.948470337,0.463077766,2.00E-01
FBtr0344373,1.500382936,0.862934997,0.461980181,1.99E-01
FBtr0072557,1.501252983,0.786027868,0.461712442,1.99E-01
FBtr0110910,1.505330853,0.844127915,0.460461685,1.98E-01
FBtr0100590,1.505360135,0.72415137,0.460452728,1.98E-01
FBtr0084050,1.505534374,0.482879837,0.460399438,1.98E-01
FBtr0305354,1.508781684,0.549957205,0.459408533,1.97E-01
FBtr0332505,1.511750598,0.383392589,0.458506305,1.96E-01
FBtr0331584,1.513380324,0.523810246,0.458012549,1.96E-01
FBtr0333231,1.513935454,0.691230877,0.457844605,1.96E-01
FBtr0080285,1.514186678,0.418895555,0.457768643,1.95E-01
FBtr0310558,1.516591695,0.860138507,0.457042712,1.95E-01
FBtr0080773,1.516965713,0.468048269,0.456930025,1.95E-01
FBtr0343331,1.517003795,0.658744667,0.456918554,1.95E-01
FBtr0074090,1.517016149,0.495371975,0.456914833,1.95E-01
FBtr0075941,1.517271535,0.935051227,0.456837926,1.95E-01
FBtr0073596,1.518219008,0.575674473,0.456552827,1.94E-01
FBtr0301133,1.52397815,0.47360974,0.454827506,1.93E-01
FBtr0073805,1.525664401,0.918133517,0.454324805,1.93E-01
FBtr0340318,1.526247868,0.375610108,0.454151121,1.92E-01
FBtr0342741,1.529786084,0.455395754,0.453100723,1.92E-01
FBtr0100599,1.529824941,0.89892543,0.453089214,1.92E-01
FBtr0300850,1.531481408,0.930625354,0.452599148,1.91E-01
FBtr0080161,1.532677758,0.92298425,0.452245866,1.91E-01
FBtr0073480,1.534144794,0.916358663,0.451813403,1.91E-01
FBtr0075341,1.534351538,0.75427158,0.451752524,1.91E-01
FBtr0344433,1.536170227,0.919138925,0.45121769,1.90E-01
FBtr0070447,1.536622374,0.788610424,0.45108492,1.90E-01
FBtr0300278,1.536666238,0.904900035,0.451072044,1.90E-01
FBtr0076513,1.538531928,0.52525682,0.450525054,1.90E-01
FBtr0076297,1.539432153,0.387840371,0.450261598,1.89E-01
FBtr0072347,1.540123399,0.59876318,0.450059509,1.89E-01
FBtr0300214,1.54180471,0.486918715,0.449568727,1.89E-01
FBtr0110791,1.542861803,0.460631577,0.449260705,1.88E-01
FBtr0088949,1.544471335,0.812630567,0.448792519,1.88E-01
FBtr0084775,1.545296967,0.540570045,0.448552735,1.88E-01
FBtr0072268,1.547814832,0.958120281,0.447823064,1.87E-01
FBtr0074039,1.547822517,0.503261201,0.44782084,1.87E-01
FBtr0085585,1.551311339,0.333425364,0.446813714,1.86E-01
FBtr0072099,1.552003768,0.595331431,0.446614367,1.86E-01
FBtr0302453,1.555353059,0.906501721,0.44565263,1.85E-01
FBtr0079027,1.558063612,0.680762729,0.444877331,1.85E-01
FBtr0086585,1.559857383,0.320431172,0.44436574,1.84E-01
FBtr0076393,1.562505325,0.932408044,0.443612684,1.84E-01
FBtr0072151,1.563413353,0.762521798,0.443355034,1.84E-01
FBtr0472669,1.565656375,0.897878437,0.442719866,1.83E-01
FBtr0089647,1.565656375,0.897878437,0.442719866,1.83E-01
FBtr0071092,1.568184696,0.593467805,0.442006087,1.83E-01
