,RPFs.DC1_t_bw_star_s.bam,RPFs.DC2_t_bw_star_s.bam,RPFs.DC3_t_bw_star_s.bam,RPFsRawCounts.DC1_t_bw_star_s.bam,RPFsRawCounts.DC2_t_bw_star_s.bam,RPFsRawCounts.DC3_t_bw_star_s.bam,mRNA.DC4_t_star_s.bam,mRNA.DC5_t_star_s.bam,mRNA.DC6_t_star_s.bam,mRNARawCounts.DC4_t_star_s.bam,mRNARawCounts.DC5_t_star_s.bam,mRNARawCounts.DC6_t_star_s.bam,TE.DC1_t_bw_star_s.bam,TE.DC2_t_bw_star_s.bam,TE.DC3_t_bw_star_s.bam
FBgn0030832,0,0,11.47873284,0,0,1,0,0,0,0,0,0,1,1,12.47873284
FBgn0030841,0,0,9.21073991,0,0,3,0,0,0,0,0,0,1,1,10.21073991
FBgn0030884,0,0,3.886629769,0,0,2,0,4.35407173,0.795060856,0,11,2,1,0.18677374,2.722264125
FBgn0030887,0,0,10.1713928,0,0,4,0.476659495,0.517940834,3.641209557,1,1,7,0.677204192,0.658787205,2.407000301
FBgn0030918,0,0,28.53561393,0,0,5,4.279224009,0,0,4,0,0,0.189421778,1,29.53561393
FBgn0030975,0,0,8.339602717,0,0,2,19.54083821,16.13721869,12.79480951,25,19,15,0.048683505,0.058352526,0.677037454
FBgn0030976,0,0,2.12080972,0,0,1,0.795095901,1.295933382,0.867678627,2,3,2,0.557073301,0.435552707,1.670956488
FBgn0030980,0,0,50.04275152,0,0,5,0,0,0,0,0,0,1,1,51.04275152
FBgn0030999,0,0,30.19297652,0,0,6,0.943284054,1.024977651,0,1,1,0,0.514592809,0.493832611,31.19297652
FBgn0031034,0,0,6.952046918,0,0,2,2.606336608,0.70801493,4.266395849,4,1,6,0.277289701,0.585474976,1.50995997
FBgn0031039,0,0,4.87519067,0,0,2,0,0,0,0,0,0,1,1,5.87519067
FBgn0031074,0,0,34.19471044,0,0,3,0,0,4.663316267,0,0,2,1,1,6.214505561
FBgn0031106,0,0,31.69634496,0,0,5,29.70756137,29.6979679,40.20018699,25,23,31,0.032565269,0.032575446,0.793597004
FBgn0031209,0,0,3.091267724,0,0,1,1.738383888,6.296458374,8.853028333,3,10,14,0.365178894,0.137052793,0.415229469
FBgn0031220,0,0,3.847984303,0,0,2,28.85234369,54.08067451,35.81557166,80,138,91,0.033498207,0.018155188,0.131682983
FBgn0031273,0,0,9.564860158,0,0,3,0,1.948221546,0.652205669,0,3,1,1,0.339187535,6.394397719
FBgn0031337,0,0,8.527746954,0,0,1,11.18974421,27.79162907,13.95569569,7,16,8,0.082036176,0.034732317,0.637064778
FBgn0031417,0,0,46.2885272,0,0,7,6.197736969,37.71317281,24.34865784,5,28,18,0.138932557,0.025831001,1.865523907
FBgn0031517,0,0,4.937389336,0,0,1,36.09522852,29.16453724,17.17012651,39,29,17,0.026957645,0.033151511,0.326766538
FBgn0031526,0,0,8.352459247,0,0,1,7.828385134,1.701273285,1.708604573,5,1,1,0.113270999,0.370195791,3.452869917
FBgn0031548,0,0,3.389050395,0,0,1,6.352809621,10.35449691,22.18478398,10,15,32,0.136002433,0.088070833,0.189307366
FBgn0031560,0,0,75.01793397,0,0,3,0,0,0,0,0,0,1,1,76.01793397
FBgn0031561,0,0,149.3139106,0,0,7,0,13.03416462,0,0,3,0,1,0.071254686,150.3139106
FBgn0031600,0,0,46.86818251,0,0,5,79.06939864,122.1934141,72.86498901,45,64,38,0.012489166,0.008117317,0.64804968
FBgn0031627,0,0,6.083041053,0,0,2,0,0.619513064,0,0,1,0,1,0.617469548,7.083041053
FBgn0031688,0,0,9.715412848,0,0,2,1.821164073,1.978886918,1.987414524,2,2,2,0.354463609,0.335695858,3.586851695
FBgn0031734,0,0,16.09295613,0,0,6,6.033282167,16.38949413,10.42474348,12,30,19,0.142181129,0.057505986,1.496134786
FBgn0031791,0,0,8.430438638,0,0,1,0,0,0,0,0,0,1,1,9.430438638
FBgn0031792,0,0,9.266753532,0,0,1,0,1.887501604,0,0,1,0,1,0.346320154,10.26675353
FBgn0031804,0,0,7.079218508,0,0,1,0,0,0,0,0,0,1,1,8.079218508
FBgn0031824,0,0,5.639793787,0,0,1,21.14370225,41.35475409,36.91819013,20,36,32,0.045159567,0.0236101,0.175108405
FBgn0031835,0,0,4.027226386,0,0,4,0,0,0,0,0,0,1,1,5.027226386
FBgn0031906,0,0,4.820250799,0,0,1,8.132048472,1.963628596,1.97209045,9,2,2,0.109504456,0.337424197,1.958302043
FBgn0031918,0,0,13.97582605,0,0,2,3.929674326,9.963346816,0,3,7,0,0.202853157,0.091213023,14.97582605
FBgn0031942,0,0,11.13279842,0,0,1,0,0,0,0,0,0,1,1,12.13279842
FBgn0031979,0,0,12.40754633,0,0,1,48.8419522,25.27234972,27.91938128,21,10,11,0.02006342,0.038062831,0.463618021
FBgn0032002,0,0,24.11555741,0,0,3,18.08194359,47.48252057,55.90905685,12,29,34,0.052405563,0.02062599,0.44132795
FBgn0032022,0,0,8.326785704,0,0,1,0,0,0,0,0,0,1,1,9.326785704
FBgn0032024,0,0,7.659701081,0,0,1,0,0,0,0,0,0,1,1,8.659701081
FBgn0032049,0,0,17.23026752,0,0,3,0,0,0,0,0,0,1,1,18.23026752
FBgn0032061,0,0,4.293155228,0,0,1,0,1.748905342,0,0,2,0,1,0.363781169,5.293155228
FBgn0032072,0,0,8.83363353,0,0,1,0,0,0,0,0,0,1,1,9.83363353
FBgn0032085,0,0,5.498608151,0,0,1,6.184318324,5.599928642,5.624060383,6,5,5,0.139192051,0.15151679,0.981061128
FBgn0032116,0,0,9.74161564,0,0,4,2.73911372,1.984224042,2.98916197,6,4,6,0.267443056,0.335095484,2.6926998
FBgn0032147,0,0,11.62652768,0,0,3,0.726468167,1.578768628,2.37835801,1,2,3,0.579217167,0.387781978,3.737474726
FBgn0032218,0,0,26.23475094,0,0,9,12.02111996,8.90605581,9.540730268,22,15,16,0.076798309,0.100948351,2.583763198
FBgn0032235,0,0,4.928406821,0,0,1,12.93368857,46.1768282,8.065359608,14,46,8,0.071768505,0.021196847,0.653962675
FBgn0032299,0,0,17.32823635,0,0,1,0,0,0,0,0,0,1,1,18.32823635
FBgn0032322,0,0,8.022648418,0,0,1,0,3.268191326,8.205687311,0,2,5,1,0.234291278,0.98011676
FBgn0032391,0,0,13.47751716,0,0,3,154.9509616,196.7373493,142.445107,184,215,155,0.006412272,0.005057214,0.100927229
FBgn0032435,0,0,8.888380803,0,0,3,0.55537869,2.413910181,0.606078108,1,4,1,0.642930244,0.292919247,6.156849256
FBgn0032436,0,0,13.59020543,0,0,2,0,0,0,0,0,0,1,1,14.59020543
FBgn0032519,0,0,9.850839815,0,0,1,0,0,0,0,0,0,1,1,10.85083981
FBgn0032520,0,0,7.358028834,0,0,2,1.379270029,1.498722414,1.50518085,2,2,2,0.420296977,0.400204518,3.33629759
FBgn0032598,0,0,10.76416271,0,0,3,20.85011751,20.46335072,27.15738332,31,28,37,0.045766344,0.046591048,0.417800283
FBgn0032601,0,0,17.67687406,0,0,4,0,0,0,0,0,0,1,1,18.67687406
FBgn0032618,0,0,3.629719896,0,0,1,0,0,0,0,0,0,1,1,4.629719896
FBgn0032684,0,0,12.27017038,0,0,3,3.066741313,4.998507016,4.183372544,4,6,5,0.245897126,0.166708149,2.560142121
FBgn0032713,0,0,28.57826056,0,0,8,3.348140103,42.20204685,6.576813293,5,58,9,0.22998339,0.023147051,3.903786383
FBgn0032780,0,0,11.34255806,0,0,2,3.189261159,3.465468751,1.160134159,3,3,1,0.238705576,0.223940656,5.713792362
FBgn0032805,0,0,18.79786318,0,0,3,16.44383382,12.76282889,19.22674151,14,10,15,0.057326847,0.072659481,0.978796469
FBgn0032895,0,0,7.066906824,0,0,1,5.298795642,0,0,4,0,0,0.158760509,1,8.066906824
FBgn0033020,0,0,11.13279842,0,0,1,10.43427224,6.80276263,2.277359245,5,3,1,0.087456375,0.128159736,3.702004423
FBgn0033128,0,0,6.840860983,0,0,1,0,0,0,0,0,0,1,1,7.840860983
FBgn0033130,0,0,6.232318134,0,0,1,0,0,0,0,0,0,1,1,7.232318134
FBgn0033153,0,0,16.30824652,0,0,3,3.056997486,0,0,3,0,0,0.246487705,1,17.30824652
FBgn0033170,0,0,8.989981026,0,0,1,25.27771704,12.81788976,18.39017975,15,7,10,0.038055056,0.072369951,0.515208273
FBgn0033216,0,0,13.67021505,0,0,2,3.843743685,8.353266139,2.796420941,3,6,2,0.206451882,0.106914524,3.864222456
FBgn0033289,0,0,3.857115732,0,0,1,0,1.571275659,0,0,2,0,1,0.388912016,4.857115732
FBgn0033292,0,0,4.270595295,0,0,1,0,0,1.747212033,0,0,2,1,1,1.91852512
FBgn0033307,0,0,15.04989416,0,0,1,0,0,0,0,0,0,1,1,16.04989416
